semilla,germina
1,si
2,si
3,si
4,si
5,si
6,si
7,si
8,si
9,si
10,si
11,si
12,si
13,si
14,si
15,si
16,si
17,si
18,si
19,si
20,si
21,si
22,si
23,si
24,si
25,si
26,si
27,si
28,si
29,si
30,si
31,si
32,si
33,si
34,si
35,si
36,si
37,si
38,si
39,si
40,si
41,si
42,si
43,si
44,si
45,si
46,si
47,si
48,si
49,si
50,si
51,si
52,si
53,si
54,si
55,si
56,si
57,si
58,si
59,si
60,si
61,si
62,si
63,si
64,si
65,si
66,si
67,si
68,si
69,si
70,si
71,si
72,si
73,si
74,si
75,si
76,si
77,si
78,si
79,si
80,si
81,si
82,si
83,si
84,si
85,si
86,si
87,si
88,si
89,si
90,no
91,no
92,si
93,si
94,si
95,si
96,si
97,no
98,no
99,si
100,si
101,si
102,si
103,si
104,si
105,si
106,si
107,si
108,si
109,si
110,si
111,si
112,si
113,si
114,si
115,si
116,si
117,si
118,no
119,si
120,si
121,si
122,si
123,si
124,si
125,si
126,si
127,si
128,si
129,si
130,si
131,si
132,si
133,si
134,si
135,si
136,si
137,si
138,si
139,si
140,si
141,si
142,no
143,no
144,si
145,si
146,si
147,si
148,si
149,si
150,si
151,si
152,si
153,si
154,si
155,si
156,si
157,si
158,si
159,si
160,si
161,si
162,si
163,si
164,si
165,si
166,si
167,si
168,si
169,si
170,no
171,no
172,no
173,no
174,si
175,si
176,si
177,si
178,si
179,si
180,si
181,si
182,si
183,si
184,si
185,si
186,si
187,si
188,si
189,si
190,si
191,si
192,si
193,si
194,si
195,no
196,si
197,si
198,si
199,si
200,si
